Round,Client,Accuracy (%)
1,1,67.5970342186017
1,2,67.71696260352287
1,3,70.73432515476915
1,4,65.55996167558828
1,5,68.72906822345162
1,6,73.56631160972807
1,7,71.727523352671
1,8,74.72771691446827
1,9,65.87261085296544
1,10,65.63801553703757
1,11,73.9587226119322
1,12,67.42879960625363
1,13,67.61099121168758
1,14,68.48918003933741
1,15,73.90065039221854
1,16,74.52315154806351
1,17,66.85784393060187
1,18,73.04908051610711
1,19,69.30170920958807
1,20,71.33640046091193
2,1,83.69693903944456
2,2,75.04689705732389
2,3,75.27438515473496
2,4,78.20473786731382
2,5,79.01797690794888
2,6,80.88662238176644
2,7,82.91427231456069
2,8,79.8592313774023
2,9,77.22420572643477
2,10,75.61642846300667
2,11,82.38050982200988
2,12,80.82306477674234
2,13,77.75043642054854
2,14,82.68566040794008
2,15,81.19030923511477
2,16,82.63028390818695
2,17,82.87066855922383
2,18,80.2236728108311
2,19,81.06019195943776
2,20,76.40594641424642
3,1,93.6243288175986
3,2,91.93449408120647
3,3,89.36745956545185
3,4,87.3594690890708
3,5,88.36039816692016
3,6,91.04452721595982
3,7,87.23317326289452
3,8,89.15605190985224
3,9,85.40100137623057
3,10,92.6870487801565
3,11,91.97813236676166
3,12,87.97401292386185
3,13,94.51204312177774
3,14,90.90996918631228
3,15,90.44780536397768
3,16,93.78125325588893
3,17,87.02271119601903
3,18,93.73745147892318
3,19,94.27828340770901
3,20,87.23402410710483
4,1,97.52641239359164
4,2,98.4645452446312
4,3,100.0
4,4,100.0
4,5,98.20358233628029
4,6,100.0
4,7,100.0
4,8,100.0
4,9,98.70858064245247
4,10,98.05670211890899
4,11,100.0
4,12,100.0
4,13,100.0
4,14,98.8738038620935
4,15,100.0
4,16,96.06088936436588
4,17,99.76312052977491
4,18,95.64950080340431
4,19,100.0
4,20,99.60056894472777
5,1,100.0
5,2,100.0
5,3,100.0
5,4,100.0
5,5,100.0
5,6,100.0
5,7,100.0
5,8,100.0
5,9,100.0
5,10,100.0
5,11,100.0
5,12,100.0
5,13,100.0
5,14,100.0
5,15,100.0
5,16,100.0
5,17,100.0
5,18,100.0
5,19,100.0
5,20,100.0
6,1,100.0
6,2,100.0
6,3,100.0
6,4,100.0
6,5,100.0
6,6,100.0
6,7,100.0
6,8,100.0
6,9,100.0
6,10,100.0
6,11,100.0
6,12,100.0
6,13,100.0
6,14,100.0
6,15,100.0
6,16,100.0
6,17,100.0
6,18,100.0
6,19,100.0
6,20,100.0
7,1,100.0
7,2,100.0
7,3,100.0
7,4,100.0
7,5,100.0
7,6,100.0
7,7,100.0
7,8,100.0
7,9,100.0
7,10,100.0
7,11,100.0
7,12,100.0
7,13,100.0
7,14,100.0
7,15,100.0
7,16,100.0
7,17,100.0
7,18,100.0
7,19,100.0
7,20,100.0
8,1,100.0
8,2,100.0
8,3,100.0
8,4,100.0
8,5,100.0
8,6,100.0
8,7,100.0
8,8,100.0
8,9,100.0
8,10,100.0
8,11,100.0
8,12,100.0
8,13,100.0
8,14,100.0
8,15,100.0
8,16,100.0
8,17,100.0
8,18,100.0
8,19,100.0
8,20,100.0
9,1,100.0
9,2,100.0
9,3,100.0
9,4,100.0
9,5,100.0
9,6,100.0
9,7,100.0
9,8,100.0
9,9,100.0
9,10,100.0
9,11,100.0
9,12,100.0
9,13,100.0
9,14,100.0
9,15,100.0
9,16,100.0
9,17,100.0
9,18,100.0
9,19,100.0
9,20,100.0
10,1,100.0
10,2,100.0
10,3,100.0
10,4,100.0
10,5,100.0
10,6,100.0
10,7,100.0
10,8,100.0
10,9,100.0
10,10,100.0
10,11,100.0
10,12,100.0
10,13,100.0
10,14,100.0
10,15,100.0
10,16,100.0
10,17,100.0
10,18,100.0
10,19,100.0
10,20,100.0
